codigo_postal,provincia,municipio_nombre,poblacion_actual,poblacion_hace_5a,crecimiento_%,supera_20k,crecimiento_positivo,precio_m2,variacion_anual_%,variacion_maximo_%,en_maximo_historico,precio_anual_positivo,fuente_precio,tiene_supermercado,tiene_colegio,tiene_instituto,tiene_universidad,tiene_centro_salud,tiene_todos_servicios,tiene_mercadona
46019,Valencia/València,València,840792.0,800215.0,5.07,True,True,1807.027165,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46018,Valencia/València,València,840792.0,800215.0,5.07,True,True,2247.858923,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46016,Valencia/València,"Tavernes Blanques, València",840792.0,800215.0,5.07,True,True,1376.29128,16.99,0.0,True,True,notariado,False,False,False,False,True,False,True
46015,Valencia/València,València,840792.0,800215.0,5.07,True,True,2707.931984,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46014,Valencia/València,"València, Xirivella",840792.0,800215.0,5.07,True,True,2221.595894,23.715,0.0,True,True,notariado,False,True,True,False,True,False,True
46013,Valencia/València,València,840792.0,800215.0,5.07,True,True,2436.711829,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46012,Valencia/València,València,840792.0,800215.0,5.07,True,True,2074.391224,16.99,0.0,True,True,notariado,False,False,False,True,True,False,True
46011,Valencia/València,València,840792.0,800215.0,5.07,True,True,2925.908984,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46010,Valencia/València,València,840792.0,800215.0,5.07,True,True,3298.260904,16.99,0.0,True,True,notariado,True,True,False,True,True,False,True
46009,Valencia/València,València,840792.0,800215.0,5.07,True,True,2310.265834,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46008,Valencia/València,València,840792.0,800215.0,5.07,True,True,3078.623523,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46007,Valencia/València,València,840792.0,800215.0,5.07,True,True,2536.241365,16.99,0.0,True,True,notariado,True,False,False,False,True,False,True
46006,Valencia/València,València,840792.0,800215.0,5.07,True,True,3021.001188,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46005,Valencia/València,València,840792.0,800215.0,5.07,True,True,3889.953315,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46004,Valencia/València,València,840792.0,800215.0,5.07,True,True,4982.029703,16.99,0.0,True,True,notariado,True,True,False,False,False,False,True
46003,Valencia/València,València,840792.0,800215.0,5.07,True,True,3436.637067,16.99,0.0,True,True,notariado,False,True,False,True,True,False,True
46002,Valencia/València,València,840792.0,800215.0,5.07,True,True,3329.189816,16.99,0.0,True,True,notariado,True,False,False,True,False,False,True
46017,Valencia/València,València,840792.0,800215.0,5.07,True,True,1914.795622,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46020,Valencia/València,València,840792.0,800215.0,5.07,True,True,2603.247974,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
46131,Valencia/València,"Bonrepòs i Mirambell, València",840792.0,800215.0,5.07,True,True,1533.255666,16.99,0.0,True,True,notariado,False,False,False,False,True,False,True
46026,Valencia/València,València,840792.0,800215.0,5.07,True,True,1879.70867,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46135,Valencia/València,"Albalat dels Sorells, Emperador, València",840792.0,800215.0,5.07,True,True,1359.22261,16.99,0.0,True,True,notariado,False,False,False,False,True,False,True
46021,Valencia/València,València,840792.0,800215.0,5.07,True,True,2806.268425,16.99,0.0,True,True,notariado,True,True,False,False,True,False,True
46112,Valencia/València,València,840792.0,800215.0,5.07,True,True,2233.459441,16.99,0.0,True,True,notariado,False,False,False,False,True,False,True
46035,Valencia/València,València,840792.0,800215.0,5.07,True,True,1582.896429,16.99,0.0,True,True,notariado,True,True,True,False,True,False,True
